145771 - COURO BOV.ACAB. ECO SOFT,CAMEL,10/12MM(119/2)|OC-190336/189483 OI-
3028|190,4300|06,10
145277 - COURO BOV.,ECO SOFT,PRETO,09/11MM(56/2)|OC-192824-191743 OI-
3117|101,6000|07,10
145277 - COURO BOV.,ECO SOFT,PRETO,09/11MM(39/2)|OC-192824-191743 OI-
3117|73,5100|07,10
145771 - COURO BOV.ACAB. ECO SOFT,CAMEL,10/12MM(2/2)|OC-192824-191743 OI-
3117|3,1300|06,10
145771 - COURO BOV.ACAB. ECO SOFT,CAMEL,10/12MM(121/2)|OC - 17451 OI - 3023|205,9700|01,09
148129 - COURO BOV.,ACAB.,CAMURÇA,PRETO 8606,10/12MM(4PC)|OC - 17451 OI - 3023|6,7200|46,00
148130 - COURO BOV.,ACAB.,CAMURÇA,MACHIATTO 8607,10/12MM|OC- 17101 OI - 2953|9,2200|46,00
148130 - COURO BOV.,ACAB.,CAMURÇA,MACHIATTO 8607,10/12MM|OC- 17101 OI - 2953|35,7900|46,00
148129 - COURO BOV.,ACAB.,CAMURÇA,PRETO 8606,10/12MM (82PC)|OC - 8771 OI - 2854|89,9400|46,00
143411 - COURO BOV.,ACAB. NAPA CALIFÓRNIA,PRETO,12/14MM|OC - 8771 OI - 2854|63,7600|46,00
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC - 8771 OI - 2854|3,0000|32,50
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC - 8771 OI - 2854|2,0000|32,50
153664 - CAMURÇA ARGENTINA CHOCO 8721 11/13" DAIELY(12PC)|OC - 8771 OI - 2854|13,7500|32,50
153665 - COURO BOV. RASPA CAMURCAO,MACHIATTO,11/13MM(59PC)|OC - 8771 OI - 2854|71,8100|32,50
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC - 9543 OI - 3049|3,0000|40,00
144593 - COURO BOV.,NAPA MINUANO,PETROLEO,12/14MM(6/2)|OC - 9543 OI - 3049|10,0500|2,00
148589 - COURO BOV.,ACAB,NAPA CALIFORNIA,SISAL,12/14MM(8/2)|OC - 9543 OI - 3049|11,9300|3,00
151986 - COURO BOV.,ACAB.,NAPA CALIFÓRNIA,CASTOR,12/14MM|OC - 9543 OI - 3049|11,1200|32,50
144594 - COURO BOV.,NAPA MINUANO,BORDO,12/14MM(4/2)|OC - 9543 OI - 3049|6,1800|32,50
093390 - COURO BOV. ACAB.,COR PRETO 01 (TEC) 09/11MM(11PELE|OC - 9916 OI - 3052|45,2500|2,00
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC - 9916 OI - 3053|3,0000|40,00
148092 - COURO BOV.,ACAB,NAPA CALIFORNIA,PALHA,12/14 (18/2)|OC - 9916 OI - 3052|34,2900|40,00
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC - 9916 OI - 3052|3,0000|40,00
153665 - COURO BOV. RASPA CAMURCAO,MACHIATTO,11/13MM|OC- OI - 2824|215,9100|40,00
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC- OI - 2824|3,0000|29,00
148544 - COURO BOV., RASPA CAMURCAO,PRETO,11/13MM(257PC)|OC- OI - 2824|329,3800|2,00
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC- OI - 2824|3,0000|40,00
007770 - COURO BOV.,ACAB.MI,COR PRETO 01,9/11MM(10PELES)|OC- OI - 2824|30,1900|2,00
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC- OI - 2824|3,0000|32,50
156154 - CAL ATANADO ROSA 10/12"DAIELY(AMOS)(4/2)|OC- OI - 2824|5,8400|2,00
156152 - CAL ATANADO MELÂNCIA 10/12"DAIELY(AMOS)(18/2)|OC - 31147 OI - 2793|12,8700|32,50
156150 - CAL ATANADO MENTA 10/12"DAIELY(AMOS)(8/2)|OC - 31147 OI - 2793|13,0200|2,00
156149 - CAL ATANADO HORTÊNCIA 10/12"DAIELY(AMOS)(4/2)|OC - 31147 OI - 2793|6,1600|29,00
156148 - CAL ATANADO NUDE 10/12"DAIELY(AMOS)(8/2)|OC - 31147 OI - 2793|12,1900|2,00
156145 - CAL ATANADO CANELA 10/12"DAIELY(AMOS)(8/2)|OC- 31330 OI - 2825|12,8400|38,00
156151 - CAL ATANADO YELLOW 10/12"DAIELY(AMOS)(4/2)|OC- 31330 OI - 2825|5,9700|38,00
007232 - COURO BOV.,ACAB.VERMELHO 01,9/11MM(3PELE)|OC- 31330 OI - 2825|13,0400|38,00
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC - 31147 OI - 2793|3,0000|38,00
143414 - COURO BOV.,ACAB. NAPA CALIFÓRNIA,BRANCO,12/14MM|OC - 31147 OI - 2793|38,2500|38,00
106485 - ACRESCIMOS DESPESAS FINANCEIRAS|OC - 31147 OI - 2793|3,0000|38,00
156546 - CAL ATANADO PISCINA 10/12"DAIELY(AMOS)(4/2)|OC- 31882 OI - 2984|6,8700|38,00
